state_abbr,date,handle,revenue,hold,taxes,primary_key,state,population_total,population_under_18,earnings_median,population_over_18,online,in_person,Ways_to_bet,tax_status,year,month
DC,June 2020,223730.0,36985.0,0.165,21267.0,133,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2020,6
DC,July 2020,743330.0,144019.0,0.1939999999999999,81985.0,134,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2020,7
DC,August 2020,11262442.0,1703416.0,0.151,302459.0,135,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2020,8
DC,September 2020,15455160.0,1804299.0,0.1169999999999999,417406.0,136,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2020,9
DC,October 2020,18491984.0,3484946.0,0.188,712904.0,137,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2020,10
DC,November 2020,17600534.0,3611200.0,0.205,780392.0,138,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2020,11
DC,December 2020,16696995.0,2708653.0,0.162,654293.0,139,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2020,12
DC,January 2021,15746168.0,2805493.0,0.178,714407.0,140,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,1
DC,February 2021,15303079.0,1333019.0,0.087,418447.0,141,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,2
DC,March 2021,15275215.0,1867034.0,0.122,526444.0,142,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,3
DC,April 2021,10746937.0,2087240.0,0.1939999999999999,463216.0,143,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,4
DC,May 2021,13772411.0,2008091.0,0.146,503584.0,144,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,5
DC,June 2021,19518408.0,2191486.0,0.1119999999999999,465194.0,145,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,6
DC,July 2021,12808239.0,1801748.0,0.141,385720.0,146,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,7
DC,August 2021,12445312.0,1492901.0,0.12,294946.0,147,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,8
DC,September 2021,20706483.0,3883674.0,0.188,671465.0,148,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,9
DC,October 2021,26332228.0,1570660.0,0.06,460630.0,149,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,10
